brand,prdt_nm
I,●STAMP : 로고엠보 서브백
I,●MONOGRAM : 모노그램 서브백
I,●DIA : 톤톤 프린트 여아 서브백
I,●스퀘어 컬러 서브백
I,●스퀘어 컬러 서브백2
I,●양키즈 빅로고 서브백
I,●MEGA 웨이스트 백
I,●워딩 웨이스트 백
I,●DIA 모노그램 탬버린 백
I,●스퀘어 컬러 슬링백
I,●빅볼청키 원포켓 백팩
I,●마카롱 원포켓 백팩
I,●MLB LIKE : 라이크 원포켓 백팩
I,●MLB LIKE : 라이크 슬링백
I,●MLB LIKE: 라이크 토들러 백팩
I,●MLB LIKE:라이크 드로우스트링 백
I,●MLB LIKE: 라이크 미니크로스백
I,MLB X DISNEY 미키마우스 책가방
I,품할6/25.MLB X DISNEY 미키마우스 슬링백
I,젤리 메쉬 투명 백팩
I,●모노그램 PVC 홀로그램 백팩
I,●모노그램 PVC 홀로그램 카메라백
I,●[07L제외]키노 빅볼청키 피크닉 백팩
I,●키노 빅볼청키 웨이스트백
I,●심볼 투포켓 빅백팩
I,●심볼 메쉬포켓 슬링백 
M,.빅워딩 백팩
M,.컬시브 백팩
M,.타이거 스팽글 백팩
M,.타이거 3D 백팩
M,.DTP 백팩
M,블랙팬서 스파크 벨벳백팩
M,메가로고 부끌 미니백팩
M,.빅워딩 슬링백
M,.프로텍터 슬링백
M,.타이거 3D 슬링백
M,.패커블 망치가방
M,.패커블 미니 크로스백
M,.빅워딩 슬링백
M,.컬시브 힙색
M,.피드락 힙색
M,.호퍼 슬링백
M,.오리진힙색
M,.워딩 슬림 웨이스트백
M,.컬러 테잎 크로스백
M,.타이거 자수 크로스백 
M,.컬시브 크로스백
M,.컬시브 미니 크로스백
M,.레인보우 짐색
M,.피드락 크로스백
M,.도토리 가방2
M,.샤이니카 크로스백
M,.양키즈 버킷백
M,.스프링 백팩
M,.로니 백팩
M,.멜라니 백팩
M,.사이클링 히트 백팩
M,.스트라이크 백팩
M,.뉴 테크웨이 백팩
M,.프로텍터 백팩
M,.다크나이트 백팩
M,.스플리터 백팩
M,.다크나이트 3WAY 백팩
M,.양키즈 베이브 백팩
M,.GOGO METS 백팩
M,.오리진 양키즈 백팩
M,.WEAV WEAV 백팩
M,.RUNNING 블랙 페티로즈 백팩
M,.WEAV WEAV 슬링백
M,.프로텍터 슬링백
M,.멜라니 프로텍터 슬링백
M,.오리진 힙색
M,.워딩 양키즈 슬림 웨이스트백
M,.옴티멈 다크나이트 힙색
M,.옵티멈 스포티즘 힙색
M,.WEAV WEAV 힙색
M,.팝 앤 키치 힙색
M,.웨빙 컬러포인트 힙색
M,.다크나이트 힙색
M,.워딩 양키즈 크로스백
M,.스포티즘 힙색
M,.애슬레저 똑똑이 워딩 힙섹
M,.오리진 양키즈 크로스백
M,.스포티즘 크로스백
M,.GOGO METS 짐색
M,.GOGO METS 크로스백
M,.GOGO METS 미니 크로스백
M,.프리티우먼 스파클 짐색
M,.양키즈 버츠비 크로스백
M,.팝 앤 키치 크로스백
M,.팝 앤 키치 클러치
M,.스포티즘 짐색
M,.트래블 크로스백
M,.도토리가방
M,베이직 팀로고 백팩
M,양키즈 코듀라 스트링백팩
M,프리이멍 스트릿 백팩
M,R_BG09 모노그램 미니 백팩
M,R_BG10 모노그램 백팩
M,.양키스 워딩 백팩
M,.R_BGA2 프로텍터 슬링백
M,.*프리미엄 스트릿 슬링백
M,.R_BGC2 슬로건 웨이스트백
M,프리미엄 스트릿 힙색
M,.R_BGC5 오리진 힙색
M,.R_BGC6 루키 웨이스트백
M,R_BGC9 모노그램 힙색
M,양키즈 코듀라 메신저백
M,뽀글이 미니 크로스백
M,.R_BGP1 MLB 빅로고 보스턴백
M,.R_BGP2 MLB 빅로고 크로스백
M,빅로고 백팩
M,빅로고 미니백팩
M,빅로고 힙색
M,해외전용 뉴욕메츠 도토리가방
M,해외전용 컬시브 크로스백
M,네온버블 백팩
M,타이디 백팩
M,제스트 백팩
M,슈퍼노바 백팩
M,MLB NEWS 백팩
M,붐붐 백팩
M,블랙아웃 할리 백팩
M,프로텍터 백팩
M,모노그램 미니 백팩
M,모노그램 백팩
M,다크나이트 슬링백
M,R_BGA2 프로텍터 슬링백
M,룰루 슬링백
M,에이스 슬링백
M,프로텍터B 슬링백
M,프로텍터S 슬링백
M,프로텍터P 슬링백
M,콩코드 힙색
M,슬로건 웨이스트백
M,룰루 웨이스트백
M,에이스 웨이스트백
M,R_BGC5 오리진 힙색
M,R_BGC6 루키 웨이스트백
M,레고 힙색
M,뉴트로 힙색
M,모노그램 힙색
M,제스트 크로스바디 백
M,타이디 크로스바디 백
M,붐붐 크로스바디 백
M,MLB 빅로고 보스턴백
M,MLB 빅로고 크로스백
M,양털 후리스 미니 백팩
M,코듀로이 힙색
M,양털 후리스 버킷백
M,양털 후리스 미니 크로스백
M,코듀로이 샤코슈 크로스백
M,라이트 미니 백팩
M,R_BG03 프리미엄 스트릿 백팩
M,홀로모노그램 미니 백팩
M,메가로고 백팩
M,메쉬 캐주얼 드로우 스트링 백팩
M,카모 모노그램 백팩
M,R_BG09 모노그램 미니 백팩
M,자카드 모노그램 미니 백팩
M,R_다크나이트 슬링백
M,라이트 힙색
M,레트로 스포츠 힙색
M,R_BGC3 프리미엄 스트릿 힙색
M,하이 모노그램 힙색
M,R_BGC5 오리진 힙색
M,카모 모노그램 힙색
M,R_BGC9 모노그램 힙색
M,자카드 모노그램 힙색
M,모노그램 데님 힙색
M,라이트 미니 크로스백
M,하이모노그램 크로스백
M,메퀴 캐주얼 샤코슈 크로스백
M,스트링 크로스백
M,레트로 스포츠 크로스백
M,메쉬 캐주얼 버킷 크로스백
M,레트로 스포츠 더플백
M,메가로고 샤코슈 크로스백
M,나일론 투웨이 크로스백
M,홀로모노그램 미니 크로스백 
M,투명 pvc모노그램 미니 크로스백
M,자카드 모노그램 크로스백
M,자카드 모노그램 넥 파우치
M,모노그램 미니 크로스백
M,자카드 모노그램 미니 크로스백
M,하트 미니 투웨이 백팩
M,모노그램 데님 샤코슈백
M,MLB X MICKEY 모노그램 미니백팩
M,MLB X MICKEY 나일론 백팩
M,MLB X MICKEY 모노그램 힙색
M,MLB X MICKEY 카메라백
M,R_BGP2 MLB 빅로고 크로스백
M,빅로고 크로스백
X,롱다운 패커블
X,[공통]키즈후디백팩
X,[공통]키즈팡팡백팩
X,[공통]키즈빅터M백팩
X,[공통]키즈펀치백팩
X,[공통]키즈버블팩팩
X,[공통]키즈버블신주머니
X,[공통]키즈후디신주머니
X,[공통]키즈팡팡신주머니
X,[공통]키즈버블슬링백
X,[공통]키즈후디슬링백
X,[공통]키즈펀치힙쌕
X,[공통]키즈팡팡크로스백
X,[공통]커넥션-B(Connection-B) 백팩
X,[공통]컨투어-B(Contour-B)백팩
X,[공통]빅터(Victor)백팩
X,[공통]컨투어-S(Contour-S)백팩
X,[공통]플랫폼(Platform)백팩
X,[공통]빅터브로(Victor-bro)백팩
X,[공통]에브리데이(Everyday)백팩
X,[공통]컨투어-R(Contour-R)백팩
X,[공통]커넥션-U(Connection-U)백팩
X,[공통]커넥션-D(Connection-D)백팩
X,[공통]컨투어(Contour)보스턴백
X,[공통]컨투어(Contour)토트백
X,[공통]디라이트(D-light)에코백
X,[공통]호라이즌-V(Horizon-V)슬링백
X,[공통]호라이즌(Horizon)슬링백
X,[공통]메쉬 토트백
X,[공통]호라이즌-V(Horizon-V)힙색
X,[공통]호라이즌(Horizon)힙색
X,[공통]목걸이형 파우치
X,[공통]빅터(Victor)빅슬링백
X,[공통]빅터(Victor)슬링백
X,[공통]플랫폼(Platform)슬링백
X,[공통]커넥션(Connection)슬링백
X,[공통]컨투어(Contour)슬링백
X,[공통]컨투어(Contour)힙색
X,[공통]커넥션(Connection)힙색
X,[공통]커넥션(Connection)슬림힙색
X,[공통]컨투어(Contour)슬림힙색
X,[공통]컨투어(Contour)크로스백
X,[공통]커넥션(Connection)크로스백
X,[공통]커넥션(Connection)스퀘어백
X,[공통]비치 크로스백
X,[공통]비치 슬링백
X,[공통]비치 2-WAY 더플백
X,[공통]카머(Carmour)백팩
X,[공통]카머(Carmour)슬링백
X,[공통]에이알(A.R)힙색
A,L.C.C_ 미니 메신저백
A,L.C.C_ 슬림 토트백
A,NE]볼륨로고 라운디 포켓 백팩 L
A,NE]볼륨로고 스트링 이지백팩
A,NE]볼륨로고 라운디 포켓 백팩 M
A,NE]볼륨로고 라운디 포켓 백팩 S
A,N.E.O_ 베이직 파니백
A,NEO] 2WAY 패니팩
A,NEO] 볼륨로고 폴딩 짐백
A,N.E.O_ 베이직 바스킷 토트백
A,NEO] 스트링 포켓 바디백
A,NE]별자수 라운디 SQ 바디백
A,베이직 슬림 메신저백
A,롱 스트랩 쇼퍼백
A,라운디 슬링백
A,NE]라운디 앞지퍼 벨트백
A,NE]볼륨로고 라운디 SQ 벨트백
A,트리플 포켓 벨트백
A,도트스트라이프 니트 패니백S
A,로고포인트 니트 패니백M
A,로고라이닝 패니팩 S
A,로고라이닝 패니팩 L
A,RUBBER STAR 니트 복조리백
A,로고포인트 니트 복조리백M
A,로고라이닝 마이크로 미니백 XS
A,로고라이닝 쇼퍼백 S
A,로고라이닝 쇼퍼백 L
A,로고라이닝 플랫 쇼퍼백 L
A,픽셀로고 플랫 쇼퍼백
A,픽셀로고 쇼퍼백 L
A,니트 탬버린 클러치
A,로고라이닝 클러치
A,픽셀로고 클러치
A,ME]스트라이프 로고 스트링 이지백팩
A,M.E.S.H_ 베이직 지퍼포켓 백팩 M
A,M.E.S.H_ 미들 지퍼 돔 백팩
A,ME]스트라이프 로고 투포켓 파니백
A,ME]스트라이프 로고 원포켓 파니백
A,M.E.S.H_ 3WAY 멀티 짐백
A,M.E.S.H_ 원 포켓 SQ 슬링백
A,NY] LOGO STRIPE 라운드 백팩 M
A,NY] LOGO STRIPE 드로우스트링 백팩 L
A,E.N.Y_ 미들 지퍼 백팩 L
A,3M 로고 벨트 포켓 백팩 XL
A,3M 로고 볼륨 패니팩 M
A,NY] LOGO STRIPE 바스킷 토트백 M
A,NY] LOGO STRIPE 멀티 짐백
A,3M 로고 숄더 짐백 L
A,E.N.Y_ 더블 SQ 메신저백 S
A,E.N.Y_ 플랩 메신저백 M
A,NY] LOGO STRIPE 클러치
A,E.N.Y_ 스트링 슬링백 L
A,PV] STRA PTN BIG LOGO 이지백팩
A,투명 PVC 로고 패니백
A,PV] STRA PTN SQ 토트백 S
A,PV] STRA PTN BIG LOGO 쇼퍼백
A,PV] STRA PTN BIG LOGO 파우치
A,PU] 빅로고 포켓 라운드 백팩 M
A,PU] 빅로고 포켓 라운드 백팩 L
A,PU] 빅로고 SQ 2ZIP 백팩 L
A,STRE 포켓 이지백팩 L
A,PU] 빅로고 라운디 파니백
A,PU] 빅로고 라운디 포켓 파니백
A,PU] 빅로고 라운드볼륨 파니백 S
A,PU] 빅로고 라운드볼륨 파니백 M
A,LEGO BLOCK 파니백 S
A,STRE 롱 파니팩
A,PU] 빅로고 탬버린 바디백
A,STRE 2WAY 메신저백
A,PU] 빅로고 SQ 폴딩 클러치
A,PU] 빅로고 더블 SQ 벨트 백
A,에나멜 로 PU 패니백
A,로고라이닝 머플러(W50/A50)
A,픽셀로고 플랫 머플러(W50/A50)
A,L.P.Y_ 2WAY 백팩 M
A,L.P.Y_ 투포켓 백팩 L
A,LOGO 스트링 이지 백백(숄더겸용)
A,L.P.Y_ 파니백
A,LOGO 와이드 파니백
A,사선 로고 소프트 짐백
A,SGLS 스팽글 2WAY BOX BAG
A,LOGO 프린트 플랫 메신저백 S
A,사선 로고 토트 쇼퍼백 XL
A,SGLS 스팽글 2WAY 슬링백
A,M.E.S.H_ 메쉬 스트라이프 아쿠아슈즈
A,사선 로고 SQ 슬림 벨트백
A,WAFFLE BACKPACK
A,WAFFLE BACKPACK
A,FLAP PANINI
A,TWINKLE PANINI
A,GIANT PANINI
A,BAKE PANINI
A,STELLA PANINI
A,MERRY PANINI
A,PANINI SGLS CORNER POINT
A,PANINI SIDE STRAP POINT
A,PANINI METAL SGLS SOLID
A,PANINI MIX PTN PRESS
A,PANINI SGLS LOGO ENAMEL
A,PANINI METALIC TASSEL
A,PANINI COLORBLOCK
A,PANINI MINI DOUBLE
A,BIC PANINI
A,WAFFLE HANDY BAG
A,WAFFLE PANINI
A,PANINI DOUBLE SPANGLE
A,PANINI ICE JELLY
A,Panini Metal Logo Solid Bag
A,Panini Metal Logo Solid Bag
A,Big Panini Bag
A,Flap Panini Bag
A,Flap Multi Panini Bag
A,Mini Pouch Woven Panini Bag
A,Side Pocket Woven Panini Bag
A,Panini Ice Jelly Bag
A,Minnie Mouse PANINI BAG
A,Flap multi panini bag
A,MARSHMALLOW PANINI
